phase,message
cool,"Claude's humming along nicely"
cool,"cool as a cucumber in a server rack"
cool,"just chillin, no spillin"
cool,"ice cold, baby. ice cold."
cool,"living its best silicon life"
cool,"vibes immaculate, temps nominal"
cool,"no thoughts just cycles"
cool,"alexa play lo-fi beats to code to"
cool,"skill issue? nah. chill issue"
cool,"certified fresh on rotten CPUs"
warm,"it's getting hot in here, so close some tabs"
warm,"somebody open a window"
warm,"sweating but still sending it"
warm,"this is fine dot jpg"
warm,"spicy. not ghost pepper spicy. yet."
warm,"ah man, here we go again"
warm,"understandable, have a terrible day"
warm,"why do i hear boss music"
warm,"nervous laughter dot wav"
warm,"i lived. barely. for now"
hot,"OH LAWD HE COOKIN"
hot,"HIDE YO KIDS HIDE YO WIFE"
hot,"HE NEED SOME MILK"
hot,"SIR THIS IS A WENDY'S AND IT'S ON FIRE"
hot,"SOMEBODY CALL THE FIRE DEPARTMENT"
hot,"CALL AN AMBULANCE BUT NOT FOR ME... WAIT ACTUALLY FOR ME"
hot,"EVERYTHING IS FINE NARRATOR: IT WAS NOT FINE"
hot,"EMOTIONAL DAMAGE"
hot,"I DIDN'T HEAR NO BELL"
hot,"TO BE CONTINUED meme arrow"
meltdown,"STRAIGHT TO JAIL. STRAIGHT TO JAIL FOR THIS CPU USAGE"
meltdown,"WHO LET HIM COOK THIS LONG"
meltdown,"STOP THE COUNT"
meltdown,"MAAM THIS IS NOT A DRILL THIS IS A MICROWAVE"
meltdown,"BRO THINK HE A SPACE HEATER"
meltdown,"GONE. REDUCED TO ATOMS."
meltdown,"WE HAVE BEEN TRYING TO REACH YOU ABOUT YOUR CPU'S EXTENDED WARRANTY"
meltdown,"AIGHT IMMA HEAD OUT"
meltdown,"YOU HAVE NO POWER HERE oh wait thats the problem"
meltdown,"SOMEBODY POISONED THE WATERHOLE"
